,Junction,Gene,MSIstatus,bp,GCcontent
362,J2,G2,MSS,25,0.39733333333333337
363,J2,G2,MSS,27,0.39917695473251025
364,J2,G2,MSS,29,0.40306513409961686
365,J2,G2,MSS,31,0.40573476702508976
366,J2,G2,MSS,33,0.40202020202020206
367,J2,G2,MSS,35,0.4038095238095236
368,J2,G2,MSS,37,0.3987987987987988
369,J2,G2,MSS,39,0.3971509971509971
370,J2,G2,MSS,41,0.39674796747967483
371,J2,G2,MSS,43,0.3948320413436692
372,J2,G2,MSS,45,0.394074074074074
373,J2,G2,MSS,47,0.395271867612293
374,J2,G2,MSS,49,0.3927437641723356
375,J2,G2,MSS,51,0.39520697167755975
376,J2,G2,MSS,53,0.39496855345911946
377,J2,G2,MSS,55,0.3975757575757576
378,J2,G2,MSS,57,0.3984405458089669
379,J2,G2,MSS,59,0.4018832391713747
380,J2,G2,MSS,61,0.40327868852459
381,J2,G2,MSS,63,0.40423280423280405
382,J2,G2,MSS,65,0.4054700854700854
383,J2,G2,MSS,67,0.4086235489220564
384,J2,G2,MSS,69,0.40998389694041876
385,J2,G2,MSS,71,0.4075117370892018
386,J2,G2,MSS,73,0.40821917808219177
387,J2,G2,MSS,75,0.41037037037037033
388,J2,G2,MSS,77,0.40923520923520934
389,J2,G2,MSS,79,0.4087201125175808
390,J2,G2,MSS,81,0.4085048010973937
391,J2,G2,MSS,83,0.409103078982597
392,J2,G2,MSS,85,0.40888888888888886
393,J2,G2,MSS,87,0.4079182630906769
394,J2,G2,MSS,89,0.40873907615480637
395,J2,G2,MSS,91,0.4068376068376067
396,J2,G2,MSS,93,0.40597371565113494
397,J2,G2,MSS,95,0.4065497076023391
398,J2,G2,MSS,97,0.40756013745704467
399,J2,G2,MSS,99,0.4074074074074074
